seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___50,HOTA___AUC,DetA___50,DetA___AUC,AssA___50,AssA___AUC,DetRe___50,DetRe___AUC,DetPr___50,DetPr___AUC,AssRe___50,AssRe___AUC,AssPr___50,AssPr___AUC,LocA___50,LocA___AUC,OWTA___50,OWTA___AUC,HOTA_TP___50,HOTA_TP___AUC,HOTA_FN___50,HOTA_FN___AUC,HOTA_FP___50,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-FRCNN,0.37857195943616795,0.7671289594039745,0.29041351330179116,0.37857195943616795,0.37857195943616795,0.331702462890787,0.331702462890787,0.43206410715897103,0.43206410715897103,0.45413260672116257,0.45413260672116257,0.5516480485450282,0.5516480485450282,0.4879868025759621,0.4879868025759621,0.7443801026412395,0.7443801026412395,0.7671289594039745,0.7671289594039745,0.4429609455186261,0.4429609455186261,4000.0,4000.0,4808.0,4808.0,3251.0,3251.0,0.10149863760217984,0.7600009112378318,0.11137602179836512,0.4673024523160763,0.5676458419528341,0.2033898305084746,0.4406779661016949,0.3559322033898305,-0.010653525130005056,0.5126097515411918,5.233722871452421,0.11115582206487072,3128.1637506549155,4116,4692,3135,87,12,26,21,109.0,599,7251,8808,115,59
MOT17-04-FRCNN,0.4863806974595668,0.8144550254297861,0.39613520331798857,0.4863806974595668,0.4863806974595668,0.4297245753315297,0.4297245753315297,0.5505065254384053,0.5505065254384053,0.49517044002657534,0.49517044002657534,0.7647801720735654,0.7647801720735654,0.6067346857913666,0.6067346857913666,0.8204173544949351,0.8204173544949351,0.8144550254297861,0.8144550254297861,0.5221058881480233,0.5221058881480233,9689.0,9689.0,9878.0,9878.0,2980.0,2980.0,0.34849491490775286,0.8105228523596265,0.35115245055450506,0.4993100628609393,0.7711737311547873,0.1927710843373494,0.43373493975903615,0.37349397590361444,0.25388706840872644,0.6061546097530711,2.763584366062917,0.3510647517072809,7918.808267553551,9770,9797,2899,52,16,36,31,100.0,1049,12669,19567,105,83
MOT17-09-FRCNN,0.47958001344937257,0.7900852926249436,0.3789091152632219,0.47958001344937257,0.47958001344937257,0.4285009861932939,0.4285009861932939,0.5367478645576566,0.5367478645576566,0.7481704692208351,0.7481704692208351,0.5007202535292423,0.5007202535292423,0.658683053792604,0.658683053792604,0.6962482998824224,0.6962482998824224,0.7900852926249436,0.7900852926249436,0.6337025340641957,0.6337025340641957,1738.0,1738.0,585.0,585.0,1733.0,1733.0,0.021954369349978475,0.7834811825276895,0.04261730520878175,0.7684029272492466,0.5142610198789974,0.5,0.38461538461538464,0.11538461538461539,-0.1444193238002902,0.6161546427338627,3.2114285714285713,0.04189356812855119,1398.5139108119258,1785,538,1686,48,13,10,3,48.0,525,3471,2323,64,26
MOT17-10-FRCNN,0.32908395288935527,0.7431043411528876,0.24454371399583225,0.32908395288935527,0.32908395288935527,0.3036481667733382,0.3036481667733382,0.35665042605089203,0.35665042605089203,0.5539616346955797,0.5539616346955797,0.4019121384485054,0.4019121384485054,0.44204660489824743,0.44204660489824743,0.5675912933263582,0.5675912933263582,0.7431043411528876,0.7431043411528876,0.4444892046270945,0.4444892046270945,3321.0,3321.0,2674.0,2674.0,4942.0,4942.0,-0.27606338615512926,0.7403299685881788,-0.24770642201834864,0.5653044203502919,0.41014159506232606,0.21052631578947367,0.5964912280701754,0.19298245614035087,-0.42285600274473095,0.4753822415486043,7.4525993883792045,-0.24807847354818652,2508.978263545338,3389,2606,4874,170,12,34,11,237.0,654,8263,5995,150,57
MOT17-11-FRCNN,0.36699015912866145,0.8052069070992561,0.2955030109678533,0.36699015912866145,0.36699015912866145,0.26910435497124074,0.26910435497124074,0.500481595370962,0.500481595370962,0.657465495608532,0.657465495608532,0.31298530641500416,0.31298530641500416,0.6805514764833859,0.6805514764833859,0.6476453238800536,0.6476453238800536,0.8052069070992561,0.8052069070992561,0.573628259540548,0.573628259540548,2620.0,2620.0,1365.0,1365.0,5751.0,5751.0,-0.7856963613550816,0.804205028752575,-0.7776662484316186,0.6614805520702635,0.3148966670648668,0.2876712328767123,0.3561643835616438,0.3561643835616438,-0.9152109270284096,0.4266752994496601,6.3935340022296545,-0.7780439523157641,2119.884455791788,2636,1349,5735,32,21,26,26,43.0,897,8371,3985,167,73
MOT17-13-FRCNN,0.24889766605994315,0.7275006717542158,0.18107321925666514,0.24889766605994315,0.24889766605994315,0.20239855429604076,0.20239855429604076,0.3060794993598372,0.3060794993598372,0.43913740866155765,0.43913740866155765,0.2729589010745541,0.2729589010745541,0.4695318106439358,0.4695318106439358,0.4529554721027087,0.4529554721027087,0.7275006717542158,0.7275006717542158,0.36662100075323806,0.36662100075323806,2464.0,2464.0,3147.0,3147.0,6563.0,6563.0,-0.7387274995544466,0.7246383093185369,-0.6955979326323294,0.456603101051506,0.2838152210036557,0.16363636363636364,0.4818181818181818,0.35454545454545455,-0.8644585014303883,0.3500478207405383,8.63150867823765,-0.696022779427193,1856.5233484740916,2562,3049,6465,242,18,53,39,199.0,749,9027,5611,219,110
COMBINED,0.3965488252847451,0.7847848307468289,0.31120550273394254,0.3965488252847451,0.3965488252847451,0.333272734900502,0.333272734900502,0.47183869055972516,0.47183869055972516,0.5148523407288988,0.5148523407288988,0.4858517491641523,0.4858517491641523,0.5615726230743602,0.5615726230743602,0.7063824865905373,0.7063824865905373,0.7847848307468289,0.7847848307468289,0.49287651017382955,0.49287651017382955,23832.0,23832.0,22457.0,22457.0,25220.0,25220.0,-0.02521117328090907,0.7803970647551988,-0.011579424917366977,0.5240553911296421,0.4945364103400473,0.22549019607843138,0.4534313725490196,0.32107843137254904,-0.14029527540384085,0.5088681679445359,5.543035993740219,-0.011639915084777035,18930.87199683161,24258,22031,24794,631,92,185,131,736.0,4473,49052,46289,820,408
